product_id,sku_id,product_name,price,original_price,stock,category,cover_image,gallery_images,detail_images,sku_images,poster_images,unknown_images,matched_local_cover_files,matched_local_gallery_files,matched_local_detail_files,matched_local_sku_files,matched_local_poster_files,matched_local_unknown_files,matched_image_count,match_confidence,match_basis,source_json_file,notes
1,"[""fallback-sku-1""]",镜像案例库奢护/体验理套装+赠瞬间抗皱神器,399.0,799.0,97.0,品牌推荐,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1773442002338_e2c0135b1b16e32e.jpg,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1773442002338_e2c0135b1b16e32e.jpg""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1774074019910_9231dd64d8335181.jpg""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1773442002338_e2c0135b1b16e32e.jpg""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
2,"[""fallback-sku-2""]",镜像案例库特惠/皮脂膜精华液+抗皱保湿精华液+燕窝精萃露,399.0,973.0,100.0,品牌推荐,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1774074009052_d9731bb253058045.jpg,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1774074009052_d9731bb253058045.jpg""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1774074009052_d9731bb253058045.jpg""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1774074009052_d9731bb253058045.jpg""]",[],[],[],[],"[""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_11.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_05.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_04.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_10.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_06.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_12.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_13.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_07.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_03.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_02.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_14.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_01.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_09.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/抗皱保湿精华液详情页/详情页_08.jpg""]",[],[],"[""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/抗皱保湿精华液/备案信息/备案证明.png""]",15,high,"[""unique_alias:抗皱保湿精华液"", ""alias:抗皱保湿精华""]",/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,
3,"[""fallback-sku-3""]",问兰燕窝邂逅试用礼,1.0,93.0,98.0,活动产品,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1774767923815_dc6e31ff743275ba.jpg,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1774767923815_dc6e31ff743275ba.jpg""]",[],"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1774767923815_dc6e31ff743275ba.jpg""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图；json 中缺少 detail 图路径
4,"[""fallback-sku-4""]",问兰灯塔皮脂膜精华乳,299.0,519.0,100.0,灯塔系列,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1775015467907_6a61e38ba210903f.png,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1775015467907_6a61e38ba210903f.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1775015536586_88ec61cd98cf473d.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1775015408934_18fcc6e02c8e8526.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1773887249237_39ce3afec6386c20.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267110325_1f843d22fc3b46a7.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/products/1775015467907_6a61e38ba210903f.png""]",[],[],[],"[""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/images/通用灯塔乳_01.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_08.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_09.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_13.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_07.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_06.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_12.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_04.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_10.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_11.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_05.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_01.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_15.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_14.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_02.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳1/通用灯塔乳_03.jpg""]","[""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/详情页-assets/详情页.png"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页.jpg00_01.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_11.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_05.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_04.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_10.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_06.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_12.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_13.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_07.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_03.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_02.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_14.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_01.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_15.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_09.jpg"", ""/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/男士灯塔乳/灯塔乳/详情页_08.jpg""]",[],[],[],33,low,"[""unique_alias:灯塔""]",/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,仅存在低置信度匹配，请人工复核
5,"[""fallback-sku-5""]",玻色因紧致面霜,499.0,1008.0,100.0,抗衰系列,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267022149_87d1c87b2545e176.png,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267022149_87d1c87b2545e176.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267033677_e2bcf7f8c30075d0.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267038934_7cd11499daad8944.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267043243_39b5786717a8efb6.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267056975_6d2efb7b60dadae8.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775267022149_87d1c87b2545e176.png""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
6,"[""fallback-sku-6""]",问兰氨基酸洁面慕斯,99.0,230.0,93.0,品牌推荐,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016185150_647fd6d7fadb2f1d.png,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016185150_647fd6d7fadb2f1d.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016189591_87171939f6ef5f4b.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016192857_afa77531b583a5e1.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016199942_dddf0eef5b8d7014.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016185150_647fd6d7fadb2f1d.png""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
7,"[""fallback-sku-7""]",问兰燕窝精萃露,199.0,419.0,96.0,修复系列,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016119797_16bff5e657e0f1a4.png,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016119797_16bff5e657e0f1a4.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016128608_422eafcde0f1d017.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016133076_495a911604dbb3ab.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016137563_b18f4aff630ec286.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016119797_16bff5e657e0f1a4.png""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
8,"[""fallback-sku-8""]",绿魔方抗皱焕颜霜/,599.0,1039.0,100.0,魔方系列,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016049176_e1c6dbbd71f96879.png,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016049176_e1c6dbbd71f96879.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016052617_6402058c1a37a891.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016055634_976f64f5298df86e.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016064737_b4322a528a820ad4.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016049176_e1c6dbbd71f96879.png""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
9,"[""fallback-sku-9""]",小极光焕彩面霜,399.0,549.0,100.0,淡斑亮白,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015999498_0c680ab51adb1c91.png,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015999498_0c680ab51adb1c91.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015995214_2ae8abecf8b99125.png"", ""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015990761_d4ff613fd1e9a53b.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775016004460_187ebf5a2880161c.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015999498_0c680ab51adb1c91.png""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
10,"[""fallback-sku-10""]",皮脂膜精华液(次抛装),189.0,378.0,100.0,蜜露系列,https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015767948_c941fdd88150f2f2.jpg,"[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015767948_c941fdd88150f2f2.jpg""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015902443_d02ca95a69562f5d.png""]","[""https://oss-1357612648.cos.ap-shanghai.myqcloud.com/materials/1775015767948_c941fdd88150f2f2.jpg""]",[],[],[],[],[],[],[],[],0,low,[],/Users/ury/Downloads/project/问兰微信小程序/check04/666/cloud-mp/mysql/jsonl/products.json,未匹配到本地素材图
